Distance,fA,fB,fAB
364972,0.0115154,0.502195,2.78302e-07
438325,0.0115154,0.0557654,0
62275,0.869086,0.0137476,2.35556e-05
430564,0.869086,0.0102548,0.0102452
966088,0.869086,0.0205804,0.0205804
413025,0.869086,0.999626,0.869086
851312,0.869086,0.109825,4.45604e-07
17803,0.869086,0.0171535,0.0171535
68978,0.869086,0.0477267,0.0477267
783685,0.869086,0.0115634,4.70954e-06
424892,0.869086,0.0517397,4.57524e-06
526767,0.869086,0.0109125,0.0109052
287901,0.869086,0.0511343,0.0511343
658400,0.869086,1,0.869086
896891,0.869086,0.0190638,6.03805e-07
542223,0.869086,0.046193,0.046193
613650,0.869086,0.0287258,0.0287258
217689,0.869086,0.0100872,0.0100872
621579,0.869086,0.0201028,0.0200707
487888,0.869086,0.502195,0.502194
414535,0.869086,0.0557654,0.0557654
368289,0.0137476,0.0102548,2.00002e-10
903813,0.0137476,0.0205804,1.00001e-10
350750,0.0137476,0.999626,0.0137476
789037,0.0137476,0.109825,0.0137242
44472,0.0137476,0.0171535,2.00002e-10
6703,0.0137476,0.0477267,4.10004e-09
721410,0.0137476,0.0115634,0
362617,0.0137476,0.0517397,1.25001e-08
464492,0.0137476,0.0109125,0
225626,0.0137476,0.0511343,1.60001e-09
596125,0.0137476,1,0.0137476
834616,0.0137476,0.0190638,6.00005e-10
479948,0.0137476,0.046193,0
551375,0.0137476,0.0287258,2.00002e-10
155414,0.0137476,0.0100872,0
559304,0.0137476,0.0201028,1.21001e-08
425613,0.0137476,0.502195,2.12277e-05
352260,0.0137476,0.0557654,0
535524,0.0102548,0.0205804,0
17539,0.0102548,0.999626,0.0102548
420748,0.0102548,0.109825,9.58378e-06
412761,0.0102548,0.0171535,4.00003e-10
361586,0.0102548,0.0477267,0
353121,0.0102548,0.0115634,0
5672,0.0102548,0.0517397,5.70005e-09
96203,0.0102548,0.0109125,0
142663,0.0102548,0.0511343,0
227836,0.0102548,1,0.0102548
466327,0.0102548,0.0190638,0
111659,0.0102548,0.046193,0
183086,0.0102548,0.0287258,0.010245
212875,0.0102548,0.0100872,0
191015,0.0102548,0.0201028,0
57324,0.0102548,0.502195,1.60001e-09
16029,0.0102548,0.0557654,0
553063,0.0205804,0.999626,0.0205804
114776,0.0205804,0.109825,8.00007e-10
948285,0.0205804,0.0171535,0
897110,0.0205804,0.0477267,0
182403,0.0205804,0.0115634,0
541196,0.0205804,0.0517397,0
439321,0.0205804,0.0109125,4.00003e-10
678187,0.0205804,0.0511343,0
307688,0.0205804,1,0.0205804
69197,0.0205804,0.0190638,0
423865,0.0205804,0.046193,0
352438,0.0205804,0.0287258,0
748399,0.0205804,0.0100872,4.20004e-09
344509,0.0205804,0.0201028,0
478200,0.0205804,0.502195,0.0205801
551553,0.0205804,0.0557654,4.00003e-10
438287,0.999626,0.109825,0.109825
395222,0.999626,0.0171535,0.0171535
344047,0.999626,0.0477267,0.0477267
370660,0.999626,0.0115634,0.0115634
11867,0.999626,0.0517397,0.0517397
113742,0.999626,0.0109125,0.0109125
125124,0.999626,0.0511343,0.0511343
245375,0.999626,1,0.999626
483866,0.999626,0.0190638,0.0190638
129198,0.999626,0.046193,0.046193
200625,0.999626,0.0287258,0.0287258
195336,0.999626,0.0100872,0.0100872
208554,0.999626,0.0201028,0.0201028
74863,0.999626,0.502195,0.502195
1510,0.999626,0.0557654,0.0557654
833509,0.109825,0.0171535,1.26001e-08
782334,0.109825,0.0477267,4.80004e-09
67627,0.109825,0.0115634,1.80002e-09
426420,0.109825,0.0517397,0.0517351
324545,0.109825,0.0109125,7.35686e-06
563411,0.109825,0.0511343,1.31001e-07
192912,0.109825,1,0.109825
45579,0.109825,0.0190638,0.0190632
309089,0.109825,0.046193,2.08002e-08
237662,0.109825,0.0287258,8.40007e-09
633623,0.109825,0.0100872,8.10007e-08
229733,0.109825,0.0201028,3.20749e-05
363424,0.109825,0.502195,1.61801e-07
436777,0.109825,0.0557654,6.14005e-08
51175,0.0171535,0.0477267,2.70002e-09
765882,0.0171535,0.0115634,1.10001e-09
407089,0.0171535,0.0517397,3.60003e-09
508964,0.0171535,0.0109125,1.67001e-08
270098,0.0171535,0.0511343,0
640597,0.0171535,1,0.0171535
879088,0.0171535,0.0190638,0
524420,0.0171535,0.046193,0
595847,0.0171535,0.0287258,0
