Distance,fA,fB,fAB
871740,0.107243,0.0157344,1.51793e-05
448457,0.107243,0.0406417,3.50425e-06
504678,0.107243,0.0416039,0.00242915
592270,0.107243,0.01087,0.00103867
335478,0.107243,0.973928,0.085445
45707,0.107243,0.0221518,0.0220821
485873,0.107243,0.0166578,1.74512e-06
61177,0.107243,0.0128758,2.25303e-07
287763,0.107243,0.0489975,1.79977e-05
6716,0.107243,0.723067,0.105455
249640,0.999959,0.0489987,0.0489987
198310,0.999959,0.99938,0.999343
463528,0.999959,0.929128,0.929128
191819,0.999959,0.0782034,0.0781685
344663,0.999959,0.0241658,0.0241658
592459,0.999959,0.999373,0.999332
188708,0.999959,0.0770121,0.0770121
19438,0.999959,0.0405298,0.0405297
563770,0.999959,0.990465,0.990436
332857,0.999959,0.0157344,0.0157342
90426,0.999959,0.0406417,0.0406417
34205,0.999959,0.0416039,0.0416039
53387,0.999959,0.01087,0.01087
203405,0.999959,0.973928,0.973891
584590,0.999959,0.0221518,0.0221518
53010,0.999959,0.0166578,0.0166578
600060,0.999959,0.0128758,0.0128758
251120,0.999959,0.0489975,0.0489975
532167,0.999959,0.723067,0.723032
51330,0.0489987,0.99938,0.0489986
213888,0.0489987,0.929128,0.0489401
57821,0.0489987,0.0782034,5.5352e-05
95023,0.0489987,0.0241658,6.73689e-06
342819,0.0489987,0.999373,0.0489987
60932,0.0489987,0.0770121,5.53224e-05
230202,0.0489987,0.0405298,1.09952e-06
314130,0.0489987,0.990465,0.0489848
582497,0.0489987,0.0157344,5.71378e-06
159214,0.0489987,0.0406417,1.34222e-06
215435,0.0489987,0.0416039,4.66652e-05
303027,0.0489987,0.01087,4.47826e-06
46235,0.0489987,0.973928,0.0489409
334950,0.0489987,0.0221518,2.58444e-06
196630,0.0489987,0.0166578,8.48512e-07
350420,0.0489987,0.0128758,3.09004e-07
1480,0.0489987,0.0489975,0.0489959
282527,0.0489987,0.723067,0.000240317
265218,0.99938,0.929128,0.929115
6491,0.99938,0.0782034,0.0781956
146353,0.99938,0.0241658,0.0237798
394149,0.99938,0.999373,0.998755
9602,0.99938,0.0770121,0.0770094
178872,0.99938,0.0405298,0.0403099
365460,0.99938,0.990465,0.990112
531167,0.99938,0.0157344,0.0157203
107884,0.99938,0.0406417,0.04042
164105,0.99938,0.0416039,0.0416038
251697,0.99938,0.01087,0.0104821
5095,0.99938,0.973928,0.973922
386280,0.99938,0.0221518,0.0221518
145300,0.99938,0.0166578,0.0166578
401750,0.99938,0.0128758,0.0128758
52810,0.99938,0.0489975,0.0489974
333857,0.99938,0.723067,0.72253
271709,0.929128,0.0782034,0.0780995
118865,0.929128,0.0241658,0.0146972
128931,0.929128,0.999373,0.92911
274820,0.929128,0.0770121,0.0769513
444090,0.929128,0.0405298,0.00184475
100242,0.929128,0.990465,0.92907
796385,0.929128,0.0157344,0.015521
373102,0.929128,0.0406417,0.00194201
429323,0.929128,0.0416039,0.0415995
516915,0.929128,0.01087,0.00139672
260123,0.929128,0.973928,0.928817
121062,0.929128,0.0221518,0.000315816
410518,0.929128,0.0166578,0.0166566
136532,0.929128,0.0128758,0.0128757
212408,0.929128,0.0489975,0.0489389
68639,0.929128,0.723067,0.653225
152844,0.0782034,0.0241658,2.50589e-05
400640,0.0782034,0.999373,0.0781868
3111,0.0782034,0.0770121,0.0770039
172381,0.0782034,0.0405298,2.96364e-06
371951,0.0782034,0.990465,0.0781443
524676,0.0782034,0.0157344,2.83874e-06
101393,0.0782034,0.0406417,3.90555e-06
157614,0.0782034,0.0416039,0.00020938
245206,0.0782034,0.01087,7.39672e-05
11586,0.0782034,0.973928,0.0781375
392771,0.0782034,0.0221518,5.43838e-06
138809,0.0782034,0.0166578,2.76384e-06
408241,0.0782034,0.0128758,2.9064e-05
59301,0.0782034,0.0489975,5.52315e-05
340348,0.0782034,0.723067,0.000321273
247796,0.0241658,0.999373,0.0235405
155955,0.0241658,0.0770121,2.45916e-05
325225,0.0241658,0.0405298,3.52845e-06
219107,0.0241658,0.990465,0.0150149
677520,0.0241658,0.0157344,1.67057e-05
254237,0.0241658,0.0406417,1.64284e-05
310458,0.0241658,0.0416039,0.013319
398050,0.0241658,0.01087,0.00951448
141258,0.0241658,0.973928,0.020498
239927,0.0241658,0.0221518,4.96347e-06
291653,0.0241658,0.0166578,1.87003e-06
255397,0.0241658,0.0128758,1.83403e-07
93543,0.0241658,0.0489975,6.69819e-06
187504,0.0241658,0.723067,0.00870802
403751,0.999373,0.0770121,0.0769955
573021,0.999373,0.0405298,0.0405295
28689,0.999373,0.990465,0.990242
925316,0.999373,0.0157344,0.0157343
502033,0.999373,0.0406417,0.0406276
558254,0.999373,0.0416039,0.0416038
645846,0.999373,0.01087,0.0102434
389054,0.999373,0.973928,0.973912
7869,0.999373,0.0221518,0.0221518
539449,0.999373,0.0166578,0.0166578
7601,0.999373,0.0128758,0.0128758
341339,0.999373,0.0489975,0.0489975
60292,0.999373,0.723067,0.722441
169270,0.0770121,0.0405298,2.80394e-06
375062,0.0770121,0.990465,0.0769605
521565,0.0770121,0.0157344,2.45713e-06
98282,0.0770121,0.0406417,2.94974e-06
154503,0.0770121,0.0416039,0.000173739
242095,0.0770121,0.01087,7.34882e-05
14697,0.0770121,0.973928,0.0769528
395882,0.0770121,0.0221518,5.29917e-06
135698,0.0770121,0.0166578,2.75134e-06
411352,0.0770121,0.0128758,2.90804e-05
62412,0.0770121,0.0489975,5.52016e-05
343459,0.0770121,0.723067,0.000214301
544332,0.0405298,0.990465,0.0405263
352295,0.0405298,0.0157344,9.78014e-08
70988,0.0405298,0.0406417,0.0387919
14767,0.0405298,0.0416039,1.55782e-06
72825,0.0405298,0.01087,3.63215e-06
183967,0.0405298,0.973928,0.0403073
565152,0.0405298,0.0221518,2.58204e-07
33572,0.0405298,0.0166578,8.75912e-07
580622,0.0405298,0.0128758,3.38005e-08
231682,0.0405298,0.0489975,1.05601e-06
512729,0.0405298,0.723067,0.0388445
896627,0.990465,0.0157344,0.0156104
473344,0.990465,0.0406417,0.0406256
529565,0.990465,0.0416039,0.0416022
617157,0.990465,0.01087,0.00171548
360365,0.990465,0.973928,0.968075
20820,0.990465,0.0221518,0.0221236
510760,0.990465,0.0166578,0.0166578
36290,0.990465,0.0128758,0.0128757
312650,0.990465,0.0489975,0.0489836
31603,0.990465,0.723067,0.714478
423283,0.0157344,0.0406417,1.25802e-07
367062,0.0157344,0.0416039,1.35902e-06
279470,0.0157344,0.01087,1.42854e-05
536262,0.0157344,0.973928,0.0155249
917447,0.0157344,0.0221518,2.85504e-07
385867,0.0157344,0.0166578,3.17504e-07
932917,0.0157344,0.0128758,1.07001e-08
583977,0.0157344,0.0489975,5.74108e-06
865024,0.0157344,0.723067,0.000207096
56221,0.0406417,0.0416039,2.29822e-05
143813,0.0406417,0.01087,1.71393e-05
112979,0.0406417,0.973928,0.0404055
494164,0.0406417,0.0221518,3.55805e-07
37416,0.0406417,0.0166578,8.72612e-07
509634,0.0406417,0.0128758,4.35006e-08
160694,0.0406417,0.0489975,1.32482e-06
441741,0.0406417,0.723067,0.0388308
87592,0.0416039,0.01087,8.3233e-05
169200,0.0416039,0.973928,0.0416018
550385,0.0416039,0.0221518,6.9066e-06
18805,0.0416039,0.0166578,1.74012e-06
565855,0.0416039,0.0128758,4.40606e-07
216915,0.0416039,0.0489975,4.65968e-05
497962,0.0416039,0.723067,0.00292729
256792,0.01087,0.973928,0.00719808
637977,0.01087,0.0221518,3.23504e-07
106397,0.01087,0.0166578,1.14002e-07
653447,0.01087,0.0128758,9.38013e-08
304507,0.01087,0.0489975,4.47246e-06
585554,0.01087,0.723067,0.00891343
381185,0.973928,0.0221518,0.000734329
150395,0.973928,0.0166578,0.0166574
396655,0.973928,0.0128758,0.0128757
47715,0.973928,0.0489975,0.0489397
328762,0.973928,0.723067,0.697098
531580,0.0221518,0.0166578,4.12106e-07
15470,0.0221518,0.0128758,7.60011e-08
333470,0.0221518,0.0489975,2.58264e-06
52423,0.0221518,0.723067,0.0221418
547050,0.0166578,0.0128758,1.29002e-08
198110,0.0166578,0.0489975,8.59712e-07
